family,axis,alternative,value,metric,producer_class
dataflow-workload,1,WS,1136,report_formula_cycles,report_prose
dataflow-workload,1,OS,1104,report_formula_cycles,report_prose
dataflow-workload,16,WS,2336,report_formula_cycles,report_prose
dataflow-workload,16,OS,2304,report_formula_cycles,report_prose
dataflow-workload,32,WS,3616,report_formula_cycles,report_prose
dataflow-workload,32,OS,3584,report_formula_cycles,report_prose
dataflow-workload,64,WS,6176,report_formula_cycles,report_prose
dataflow-workload,64,OS,6144,report_formula_cycles,report_prose
dataflow-workload,256,WS,21536,report_formula_cycles,report_prose
dataflow-workload,256,OS,21504,report_formula_cycles,report_prose
dataflow-workload,1024,WS,82976,report_formula_cycles,report_prose
dataflow-workload,1024,OS,82944,report_formula_cycles,report_prose
dataflow-architecture,R8C8,WS,70720,report_formula_cycles,report_prose
dataflow-architecture,R8C8,OS,70656,report_formula_cycles,report_prose
dataflow-architecture,R16C16,WS,21536,report_formula_cycles,report_prose
dataflow-architecture,R16C16,OS,21504,report_formula_cycles,report_prose
dataflow-architecture,R32C32,WS,9232,report_formula_cycles,report_prose
dataflow-architecture,R32C32,OS,9216,report_formula_cycles,report_prose
aspect-workload,16,formula,404,formula_cycles,local_formula
aspect-workload,17,formula,543,formula_cycles,local_formula
aspect-workload,20,formula,570,formula_cycles,local_formula
aspect-workload,24,formula,606,formula_cycles,local_formula
aspect-workload,31,formula,669,formula_cycles,local_formula
aspect-workload,32,formula,678,formula_cycles,local_formula
aspect-architecture,0,formula,567,formula_cycles,local_formula
aspect-architecture,1,formula,570,formula_cycles,local_formula
aspect-architecture,2,formula,576,formula_cycles,local_formula
aspect-architecture,3,formula,878,formula_cycles,local_formula
aspect-architecture,4,formula,416,formula_cycles,local_formula
retention,131072,full@32Bpc,8292,model_cycles,linked_estimator
retention,131072,live25@32Bpc,2148,model_cycles,linked_estimator
retention,131072,control@32Bpc,100,model_cycles,linked_estimator
retention,262144,full@32Bpc,16484,model_cycles,linked_estimator
retention,262144,live25@32Bpc,4196,model_cycles,linked_estimator
retention,262144,control@32Bpc,100,model_cycles,linked_estimator
retention,524288,full@32Bpc,32868,model_cycles,linked_estimator
retention,524288,live25@32Bpc,8292,model_cycles,linked_estimator
retention,524288,control@32Bpc,100,model_cycles,linked_estimator
retention,262144,full@16Bpc,32868,model_cycles,linked_estimator
retention,262144,full@64Bpc,8292,model_cycles,linked_estimator
