M,N,tiles,util,fill,compute,drain,dma,total,tops
16,16,1,1.0,2,128,2,272,404,0.16221782178217822
16,32,2,1.0,4,256,2,416,678,0.19332153392330384
16,48,3,1.0,6,384,2,560,952,0.20652100840336135
16,64,4,1.0,8,512,2,704,1226,0.21382055464926591
16,80,5,1.0,10,640,2,848,1500,0.21845333333333336
16,96,6,1.0,12,768,2,992,1774,0.22165501691093573
16,128,8,1.0,16,1024,2,1280,2322,0.22579155900086134
16,160,10,1.0,20,1280,2,1568,2870,0.22834843205574915
16,192,12,1.0,24,1536,2,1856,3418,0.23008543007606788
16,256,16,1.0,32,2048,2,2432,4514,0.23229419583517943
20,16,2,0.625,2,256,4,308,570,0.14371929824561402
20,32,4,0.625,4,512,4,456,976,0.1678688524590164
20,48,6,0.625,6,768,4,604,1382,0.17782923299565845
20,64,8,0.625,8,1024,4,752,1788,0.1832662192393736
20,80,10,0.625,10,1280,4,900,2194,0.18669097538742022
20,96,12,0.625,12,1536,4,1048,2600,0.18904615384615386
20,128,16,0.625,16,2048,4,1344,3412,0.19207502930832357
20,160,20,0.625,20,2560,4,1640,4224,0.19393939393939394
20,192,24,0.625,24,3072,4,1936,5036,0.19520254169976173
20,256,32,0.625,32,4096,4,2528,6660,0.1968048048048048
32,16,2,1.0,2,256,4,416,678,0.19332153392330384
32,32,4,1.0,4,512,4,576,1096,0.23918248175182483
32,48,6,1.0,6,768,4,736,1514,0.2597199471598415
32,64,8,1.0,8,1024,4,896,1932,0.2713706004140787
32,80,10,1.0,10,1280,4,1056,2350,0.2788765957446809
32,96,12,1.0,12,1536,4,1216,2768,0.2841156069364162
32,128,16,1.0,16,2048,4,1536,3604,0.2909478357380688
32,160,20,1.0,20,2560,4,1856,4440,0.2952072072072072
32,192,24,1.0,24,3072,4,2176,5276,0.2981167551175133
32,256,32,1.0,32,4096,4,2816,6948,0.3018353483016696
40,16,3,0.8333333333333334,2,384,6,488,880,0.1861818181818182
40,32,6,0.8333333333333334,4,768,6,656,1434,0.2285076708507671
40,48,9,0.8333333333333334,6,1152,6,824,1988,0.24724346076458753
40,64,12,0.8333333333333334,8,1536,6,992,2542,0.2578127458693942
40,80,15,0.8333333333333334,10,1920,6,1160,3096,0.26459948320413434
40,96,18,0.8333333333333334,12,2304,6,1328,3650,0.26932602739726025
40,128,24,0.8333333333333334,16,3072,6,1664,4758,0.27547709121479613
40,160,30,0.8333333333333334,20,3840,6,2000,5866,0.27930446641663825
40,192,36,0.8333333333333334,24,4608,6,2336,6974,0.2819156868368225
40,256,48,0.8333333333333334,32,6144,6,3008,9190,0.28524918389553866
64,16,4,1.0,2,512,8,704,1226,0.21382055464926591
64,32,8,1.0,4,1024,8,896,1932,0.2713706004140787
64,48,12,1.0,6,1536,8,1088,2638,0.2981167551175133
64,64,16,1.0,8,2048,8,1280,3344,0.3135693779904306
64,80,20,1.0,10,2560,8,1472,4050,0.32363456790123457
64,96,24,1.0,12,3072,8,1664,4756,0.3307115222876367
64,128,32,1.0,16,4096,8,2048,6168,0.3400051880674449
64,160,40,1.0,20,5120,8,2432,7580,0.3458364116094987
64,192,48,1.0,24,6144,8,2816,8992,0.3498362989323844
64,256,64,1.0,32,8192,8,3584,11816,0.3549681787406906
80,16,5,1.0,2,640,10,848,1500,0.21845333333333336
80,32,10,1.0,4,1280,10,1056,2350,0.2788765957446809
80,48,15,1.0,6,1920,10,1264,3200,0.3072
80,64,20,1.0,8,2560,10,1472,4050,0.32363456790123457
80,80,25,1.0,10,3200,10,1680,4900,0.3343673469387755
80,96,30,1.0,12,3840,10,1888,5750,0.34192695652173916
80,128,40,1.0,16,5120,10,2304,7450,0.3518711409395973
80,160,50,1.0,20,6400,10,2720,9150,0.358120218579235
80,192,60,1.0,24,7680,10,3136,10850,0.3624110599078341
80,256,80,1.0,32,10240,10,3968,14250,0.3679214035087719
96,16,6,1.0,2,768,12,992,1774,0.22165501691093573
96,32,12,1.0,4,1536,12,1216,2768,0.2841156069364162
96,48,18,1.0,6,2304,12,1440,3762,0.3135693779904306
96,64,24,1.0,8,3072,12,1664,4756,0.3307115222876367
96,80,30,1.0,10,3840,12,1888,5750,0.34192695652173916
96,96,36,1.0,12,4608,12,2112,6744,0.3498362989323844
96,128,48,1.0,16,6144,12,2560,8732,0.360252863032524
96,160,60,1.0,20,7680,12,3008,10720,0.3668059701492537
96,192,72,1.0,24,9216,12,3456,12708,0.3713087818696884
96,256,96,1.0,32,12288,12,4352,16684,0.3770951810117478
128,16,8,1.0,2,1024,16,1280,2322,0.22579155900086134
128,32,16,1.0,4,2048,16,1536,3604,0.2909478357380688
128,48,24,1.0,6,3072,16,1792,4886,0.32191240278346295
128,64,32,1.0,8,4096,16,2048,6168,0.3400051880674449
128,80,40,1.0,10,5120,16,2304,7450,0.3518711409395973
128,96,48,1.0,12,6144,16,2560,8732,0.360252863032524
128,128,64,1.0,16,8192,16,3072,11296,0.3713087818696884
128,160,80,1.0,20,10240,16,3584,13860,0.37827417027417026
128,192,96,1.0,24,12288,16,4096,16424,0.3830647832440331
128,256,128,1.0,32,16384,16,5120,21552,0.3892264291017075
160,16,10,1.0,2,1280,20,1568,2870,0.22834843205574915
160,32,20,1.0,4,2560,20,1856,4440,0.2952072072072072
160,48,30,1.0,6,3840,20,2144,6010,0.327134775374376
160,64,40,1.0,8,5120,20,2432,7580,0.3458364116094987
160,80,50,1.0,10,6400,20,2720,9150,0.358120218579235
160,96,60,1.0,12,7680,20,3008,10720,0.3668059701492537
160,128,80,1.0,16,10240,20,3584,13860,0.37827417027417026
160,160,100,1.0,20,12800,20,4160,17000,0.3855058823529412
160,192,120,1.0,24,15360,20,4736,20140,0.3904826216484608
160,256,160,1.0,32,20480,20,5888,26420,0.39688720666162
192,16,12,1.0,2,1536,24,1856,3418,0.23008543007606788
192,32,24,1.0,4,3072,24,2176,5276,0.2981167551175133
192,48,36,1.0,6,4608,24,2496,7134,0.3307115222876367
192,64,48,1.0,8,6144,24,2816,8992,0.3498362989323844
192,80,60,1.0,10,7680,24,3136,10850,0.3624110599078341
192,96,72,1.0,12,9216,24,3456,12708,0.3713087818696884
192,128,96,1.0,16,12288,24,4096,16424,0.3830647832440331
192,160,120,1.0,20,15360,24,4736,20140,0.3904826216484608
192,192,144,1.0,24,18432,24,5376,23856,0.39558953722334
192,256,192,1.0,32,24576,24,6656,31288,0.4021641523906929
200,16,13,0.9615384615384616,2,1664,26,1928,3620,0.22629834254143646
200,32,26,0.9615384615384616,4,3328,26,2256,5614,0.2918418240114001
200,48,39,0.9615384615384616,6,4992,26,2584,7608,0.3230283911671924
200,64,52,0.9615384615384616,8,6656,26,2912,9602,0.34126223703395125
200,80,65,0.9615384615384616,10,8320,26,3240,11596,0.3532252500862367
200,96,78,0.9615384615384616,12,9984,26,3568,13590,0.36167770419426054
200,128,104,0.9615384615384616,16,13312,26,4224,17578,0.3728296734554557
200,160,130,0.9615384615384616,20,16640,26,4880,21566,0.37985718260224427
200,192,156,0.9615384615384616,24,19968,26,5536,25554,0.38469124207560457
200,256,208,0.9615384615384616,32,26624,26,6848,33530,0.3909096331643305
256,16,16,1.0,2,2048,32,2432,4514,0.23229419583517943
256,32,32,1.0,4,4096,32,2816,6948,0.3018353483016696
256,48,48,1.0,6,6144,32,3200,9382,0.3352939671711789
256,64,64,1.0,8,8192,32,3584,11816,0.3549681787406906
256,80,80,1.0,10,10240,32,3968,14250,0.3679214035087719
256,96,96,1.0,12,12288,32,4352,16684,0.3770951810117478
256,128,128,1.0,16,16384,32,5120,21552,0.3892264291017075
256,160,160,1.0,20,20480,32,5888,26420,0.39688720666162
256,192,192,1.0,24,24576,32,6656,31288,0.4021641523906929
256,256,256,1.0,32,32768,32,8192,41024,0.4089609984399376
