family,axis,alternative,value,metric,producer_class
dataflow,1,WS,1136,formula_cycles,local_formula
dataflow,1,OS,1104,formula_cycles,local_formula
dataflow,16,WS,2336,formula_cycles,local_formula
dataflow,16,OS,2304,formula_cycles,local_formula
dataflow,32,WS,3616,formula_cycles,local_formula
dataflow,32,OS,3584,formula_cycles,local_formula
dataflow,64,WS,6176,formula_cycles,local_formula
dataflow,64,OS,6144,formula_cycles,local_formula
dataflow,256,WS,21536,formula_cycles,local_formula
dataflow,256,OS,21504,formula_cycles,local_formula
dataflow,1024,WS,82976,formula_cycles,local_formula
dataflow,1024,OS,82944,formula_cycles,local_formula
retention,131072,full@32Bpc,8292,model_cycles,linked_estimator
retention,131072,live25@32Bpc,2148,model_cycles,linked_estimator
retention,131072,control@32Bpc,100,model_cycles,linked_estimator
retention,262144,full@32Bpc,16484,model_cycles,linked_estimator
retention,262144,live25@32Bpc,4196,model_cycles,linked_estimator
retention,262144,control@32Bpc,100,model_cycles,linked_estimator
retention,524288,full@32Bpc,32868,model_cycles,linked_estimator
retention,524288,live25@32Bpc,8292,model_cycles,linked_estimator
retention,524288,control@32Bpc,100,model_cycles,linked_estimator
retention,262144,full@16Bpc,32868,model_cycles,linked_estimator
retention,262144,full@64Bpc,8292,model_cycles,linked_estimator
