+ timeout 60s /tmp/tusim-ch12-work.snMARI/ch12-contention-sweep 
Interconnect contention sweep: cut-through, 16 B/cycle, 5 cycles/router, 4096 B/message
cores topo  traffic    msgs  ideal   shared  penalty bottlnk link
8     RING  neighbor   8     261     261     1.00    256     0->1
8     RING  hotspot    7     276     1044    3.78    1024    7->0
8     RING  all-to-all 56    276     2580    9.35    2560    0->1
8     MESH  neighbor   8     276     276     1.00    256     0->1
8     MESH  hotspot    7     276     1044    3.78    1024    4->0
8     MESH  all-to-all 56    276     2068    7.49    2048    1->2
16    RING  neighbor   16    261     261     1.00    256     0->1
16    RING  hotspot    15    296     2088    7.05    2048    15->0
16    RING  all-to-all 240   296     9256    31.27   9216    0->1
16    MESH  neighbor   16    286     286     1.00    256     0->1
16    MESH  hotspot    15    286     3102    10.85   3072    4->0
16    MESH  all-to-all 240   286     4126    14.43   4096    1->2
